example_id,article,answer,question,options,gpt_3.5_answers
high17806.txt,"Suppose you work in a big firm and find English very important for your job because you often deal with foreign businessmen. Now you are looking for a place where you can improve your English, especially your spoken English. Here are some advertisements  about English language training from newspapers. You may find the information you need.
Global English Centre
l      General English in all four skills: listening, speaking, reading, and writing.
l      3-month (700 yuan), 6-month (1,200 yuan) and one-year (2,000 yuan) courses.
l      Choice of morning or evening classes, 3 hours per day. Mon.~Fri.
l      Experienced college English teachers.
l      Close to city centre and bus stops.
Tel: 67605272
Add: 105 Zhongshan Road, 100082
Modern Language School
l      Special courses in English for business, travel, banking, hotel management and office skills.
l      Small classes (12~16 students) on Sat. & Sun. from 2:00~5:00 p.m.
l      Native English teachers from Canada and USA.
l      Language lab and computers supplied.
l      3-month course: 1,050 yuan; 6-month course: 1,850 yuan.
Write or phone: Modern Language School, 675 Park Road, 100056
Tel: 67353019
The 21st Century English Training Centre
l      We specialize in effective teaching at all levels.
l      We offer morning or afternoon classes, both of which last three months and a half at a cost of 800 yuan.
l      We also have a six-week TOEFL preparation class during winter and summer holidays.
l      Entrance exams: June 1 and Dec. 1.
l      Only 15-minute walk from city centre.
l      Call 67801642 for more information.
The International House of English
l      Three/Six-month English courses for students of all levels at a very low cost: 60 yuan for 12 hours per week, convenient   class hours:
9:00~12:00 a.m. and 2:00~5:00 p.m.
l      A four-month evening programme for developing speaking skills (same cost as day classes). 
l      Well-trained Chinese and foreign teachers with experience in teaching English as a second foreign language.
l      Free sightseeing and social activities.
l      Very close to the Central Park.
For further information call 674322308.",D,"If you take the evening programme at The International House of English, you will pay  _  .","['60 yuan', '240 yuan', '720 yuan', '960 yuan']",D. 960 yuan
high22.txt,"A green house is a building made of glass which is used for keeping warm when the outside temperature is low. In a similar way there are several gases in the atmosphere (mixture of gases that surround the earth) which trap the heat produced by the sun and prevent it from escaping. These gases are known as ""greenhouse gases"". And the way in which they trap heat in the atmosphere is called the ""greenhouse effect"". This is not simply air pollution. Most of the main greenhouse gases exist naturally in small amounts in our atmosphere, and without them the earth would be 30 degrees colder and human life would not exist. In other words, the greenhouse effect is a natural course which is to some degree helpful to us.
The problem is that in the last century and a half, we have been putting too many of these gases into the earth's atmosphere by burning large quantities of coal and oil and by cutting down forest. The rapid increase in greenhouse gases is making the world warmer. The world's temperature has already gone up by half a degree this century, and the sea level has risen by 10 centimetres. If the amount of carbon dioxide in the atmosphere doubles, there will probably be a rise in the earth's temperature of between I and 4degC;. This may seem a small increase, but it would be enough to cause major changes in geography and agriculture. Large areas of the world would be flooded, and some areas would become dry and unable to produce crops. It is important, too, to consider that there may be a delay of about 30 years in the greenhouse effect. This means that we are probably experiencing only now the effect of the gases put into the atmosphere before the 1960s. Since then, our use of these gases has greatly increased.",B,"According to the passage, we can know ""greenhouse effect"" means  _  .","['the way in which gases are used for keeping plants warm', 'a natural course that is to a certain degree useful to us', 'the way ""greenhouse gases"" trap heat on the earth', 'the whole course in which greenhouse gases prevent heat']","C) the way ""greenhouse gases"" trap heat on the earth"
middle2658.txt,"We each have a memory . That's why we can still remember things after a long time. Some people have very good memories and they can easily learn many things by heart, but some people can only remember things when they say or do them again and again. Many of the great men of the world have got surprising memories.
A good memory is a great help in learning a language. Everybody learns his mother language when he is a small child. He hears the sounds, remembers them and then he learns to speak. Some children are living with their parents in foreign countries. They can learn two languages as easily as one because they hear, remember and speak two languages every day. In school it is not so easy to learn a foreign language because the pupils have so little time for it, and they are busy with other subjects, too.
But your memory will become better and better when you do more and more exercises.
,.",C,In school the pupils can't learn a foreign language well because  _  .,"['they have no good memories', 'they have no recorders', 'they have too much time for it', 'they are busy with other subjects']",D. they are busy with other subjects
high18384.txt,"Dear Cary,
I'm writing because I've understood you've struggled with alcoholism  . I've been fighting mine ever since I went through 9-11. After that, I've been more or less useless. Professionally, I'm a lawyer, and have had to leave my job because I passed out  , drunk in front of my computer. I've taken some medicine and it has helped somewhat. I can manage about a month without drinking, but after that I end up having a crazy stage where nothing matters except drinking. After a week or so of heavy drinking, I start having nightmares of people jumping. After that, it's a week of not being able to get out of bed.
I was supposed to travel to a conference but didn't make it because I got so drunk at the airport that I fell down on my face and spent the rest of the day in the emergency room. I have been hiding from my family since then. Fortunately they won't be expecting me to come back for a week or so. Otherwise, they would notice the bump   on my forehead and two black eyes.
I don't really know what I'm asking you about. Cary, I need a way out that doesn't cause pain to my family. I'm taking medicine, but I still have these attacks every few months. If there's alcohol in the house, I can't stay away from it. It seems that this will never end. I'm worried about what will happen if something bad happens, like a family member dying, or getting fired again. 
Thanks for reading. 
Yours T",D,The author writes to Cary in order to  _  .,"['offer advice', 'tell a story', 'avoid nightmares', 'ask for help']",D. ask for help
high17905.txt,"prefix = st1 /Britainis facing a sharp rise in its rat population as growing numbers of people leave fast food scraps in the street , an environment group warned . Keep Britain Tidy said the rodents  were stopping their traditional hunts underground and were roaming the streets ,tempted by discarded burgers ,pizzas and crisps. ""The rat population is on the rise and soon it'll be as common to see a rodent on our street as it is to see a dog or a cat,"" said group Director ,Sue Nelson. The practice of dumping fast food litter and scraps on the street rather than in the trash-with young men the worst offenders-was behind the rise. According to the National Rodent Survey in 2005, Britain's rat population has grown by nearly one quarter since 2000 and is now estimated at 60 million , two million more than the human population. On average a rat can give birth every 24--28 days and just a single pair of rats can produce a colony of 2,000 a year. Around 200 people a year get Weil's Disease----an infection which can lead to liver or kidney  failure and eventually death and which is arrived in rat's waste. To highlight the issue , Keep Britain Tidy launched a cinema ad entitled ""How close do you want them to get?"" The advertisement gave a shocking image of a young woman sleeping in a bed of rots, echoing the nightmare scene from James Herbert's classic horror tale The Rats, in which mutant rodents begin to prey on humans.",B,"By writing the passage, the author tries to   _  .","['close some of the burger and pizza restaurants', 'draw the public attention to the problem of rats', 'prevent the rats from growing up', 'make advertisement for the classic horror film The Rats']",B
middle6239.txt,"The Spring Festival is the Chinese New Year's Day. It usually comes in January or February. Everyone in China likes it very much. All the families have a big dinner to celebrate  it. Children like the Spring Festival best because they can get presents such as nice food, new clothes and red packets from their grandparents, their parents, their uncles and aunts. People eat dumplings on the Spring Festival. Chinese think eating dumplings can bring them money in the new year.",C,People eat   _   in the Spring Festival.,"['rice dumplings', 'mooncakes', 'dumplings', 'turkey']",dumplings
high24105.txt,"Today we have the second report explaining how to prepare fish by drying or smoking them. We talked last week about the first steps of cleaning and salting freshly caught fish.
To dry fish, you will need either a drying table or a place to hang them. If a table is used, it should have a top made of wire screen or thin pieces of wood with space between each piece. 
Lay the cleaned, wet salted fish on top of the table. Do not let them touch each other. Be sure that air can reach the fish from all sides. 
     _ Turn the fish over every other day. Small fish will dry in about three days if the air is dry. Large fish will take a week or ten days to dry.
After the fish have dried, place them in a basket. Cover them with clean paper or large leaves. Then put the basket in a cool, dry place off the ground. 
Make sure as much of the saltwater as possible is removed before you smoke the fish.
The smoking can be done in a large, round metal container. Remove the top of the drum and cut a small opening on one side at the bottom.
Cover the top with a strong wire screen, where you put the fish. Build a small fire in the drum by reaching in through the opening at the bottom. 
Wood from fruit trees makes good fuel for your fire.  _ will give the smoked fish good color1 and taste. One way to get a lot of smoke is to use green wood, not dried wood.
You should smoke the fish for five days or longer if you plan to keep them for a long time. After that, wrap them in clean paper, put the fish in baskets and keep them in a cool, dry place off the ground.",B,"In drying or smoking fish, the following tools are mentioned in the passage EXCEPT_.","['wire screen', 'spoon', 'basket', 'wood']",B
high16792.txt,"It is often said that politeness costs nothing.In fact,it seems that a little more courtesy could save businessesPS5 billion every year.
Frequently hearing the phrase ""thank you"" or ""well done"" means the same to staff as a modest pay rise,researchers say.
Praise and encouragement also makes employees more likely to work hard and stay in their jobs,saving on the cost of finding replacements.
A third of 1,000 workers surveyed by consulting firm White Water Strategies said they did not get thanked at all when they did well--and a further third said they were not thanked enough.
In both cases,staff said they felt undervalued,meaning they were less likely to exert themselves and were more likely to look for employment elsewhere.
The net result is around PS5.2 billion in lost productivity from employees who would raise their game if they felt more appreciated,White Water claimed According to the company,praising staff has the same motivational kick as a 1 per cent pay rise--and works out much cheaper for bosses.
Three out of four employees said that regular acknowledgement by their boss was important to them,but only a quarter said they were actually given as much praise as they felt they needed.
The survey found that those in blue-collar and manual jobs were less likely to be given any recognition for doing well.
In regional terms,Scottish staff felt most undervalued.Four out of ten workers said they were never thanked and eight out of ten said they would like more praise.However,workers in the North-East are less impressed by being buttered up by the boss,as only 69 per cent said they felt the need to be told ""well done""regularly.
Older employees and women need the most reassurance,according to psychologist Averil Leimon,a director of White Water Strategies.She said that words of praise did more than create a pleasant place to work--they could even boost profits.",D,Why didn't bosses give their Staff enough praise and encouragement?,"['Most bosses feel it unnecessary', ""Most workers didn't work hard enough."", 'This was not what the staff want', ""The passage doesn't mention it""]",This was not what the staff want
middle7797.txt,"China's female swimmer Fu Yuanhui came third in Women's 100 meter backstroke  on Monday morning (Beijing time) at Rio Olympics. China's online community has gone crazy about the 1996-born girl, not because of her performance in the semifinal or her achievement, but because of her cheerful answer to her performance during an interview by CCTV.
Finishing the 100 meter backstroke with 58.95 seconds, Fu, who thought it was 59 seconds, was quite surprised with the result. This was the first moment when she impressed Chinese audience with her surprising look and body language in front of the camera. The second time that the young swimmer amazed the audience was her honest and direct answer to a question raised by the reporter."" We know that your body condition was not that good in the past year and it's not easy to have such a result. Do you think you are now as good as before?"" asked the reporter."" It is my best score ever. I have worked for three months on the recovery. Only the ghost knows what I have come through,"" said Fu, ""It was so painstaking that sometimes I felt like I was  going to die.""
In the interview, Fu used a phrase"" Hong Huang Zhi Li""to describe the great efforts she has made in preparing for the competition, which soon became a popular word on the internet.",C,Fu Yuanhui was   _   years old when she came third at Rio Olympics,"['18', '19', '20', '21']","A, 19."
high7164.txt,"In eighteen seventy-seven,the American government decided to move the Nez Perce Indians from their land. The government had set up a reservation for them in Idaho. Chief Joseph did not want to leave the land. It was holy ground. It contained the bones of his father and mother.
But,like his father in earlier times,Chief Joseph knew it would be hopeless to stay and defend the land. There were too few Indians to win a war against the white men.
And so in June of eighteen seventy-seven,the Nez Perce left their home in the Wallowa Valley. They left quickly. They were able to take only a small part of what they owned,and just a few cattle and Appaloosa horses.
When the Indians reached the Snake River,the water was very deep and ran very fast with melted snow from the mountains. Chief Joseph and his people made boats from sticks and dried animal skins to cross the river. While the Indians were busy,a group of white men came and stole some of the cattle waiting at the edge of the river.
The other chiefs demanded that Joseph call a meeting. Two of the chiefs,White Bird and Toohoolhoolzote,spoke for War,but Joseph held different opinion.
Some of the young men in White Bird's group were very angry. That night,they rode into the countryside and killed eleven white persons.
During all his years as chief,Joseph had tried to keep the peace. Now he saw there was no hope. Although he and his young men had taken no part in the killings,he knew that the white men would blame all of the Indians. Chief Joseph said,""I would have given my own life if I could have undone the killing of the white men.""
Many Nez Perce fled. Chief Joseph remained,because his wife was about to have a baby. After she gave birth,he and his family joined the others in White Bird Canyon to the south.
Joseph wanted to lead the people to safety in the flat lands of Montana. But the United States army quickly sent horse soldiers to follow them.
They were extremely tired when they reached White Bird Canyon. An Indian--carrying a white flag--walked forward to meet them. A soldier shot him.
With that shot,war between the Nez Perce and the United States began.",A,From the passage we can infer that   _  .,"['conflicts often happened between the Indians and the white', 'Chief Joseph was afraid of white men', 'white men often killed some Indians', 'Chief Joseph knew it would be hopeless to defend the land']",D. Chief Joseph knew it would be hopeless to defend the land
high4016.txt,"Plants have family values, too; it seems, with new research suggesting they can recognize close relatives in order to work together.
An ability to tell family from strangers is well known in animals, allowing them to cooperate and share resources, but plants may possess similar social skills, scientists believe.
Susan Dudley and Amanda File of McMaster University in Ontario, Canada, report they have demonstrated for the first time that plants can recognize their kin.
This suggests that plants, though lacking recognition and memory, are capable of complex social interactions.
""Plants have this kind of hidden but complicated social life,"" Dudley said.
The study found plants from the same species of beach-dwelling wildflower grew aggressively alongside unrelated neighbors but were less competitive when they shared soil with their families.
Sea rocket, a North American species, showed stronger and healthier root growth when planted in pots with strangers than when raised with relatives from the same maternal  family, the study found.
This is an example of kin selection, a behavior common in animals in which closely related individuals take a group approach to succeeding in their environment, the researchers said.
Kin selection also applies to competition, because if family members compete less with each other, the group will do better overall. ""Everywhere you look, plants are growing right up next to other plants,"" Dudley said,"" Usually it's a case of each plant for itself. But sometimes those plants are related, and there are benefits to not wasting resources on being competitive, and there is not really a cost to not being competitive as long as your neighbor is also not being competitive.""
Learning and memory appear to be important for kin recognition in animals, but this isn't an option for plants, she noted.
Some researchers speculate  that plants communicate through their roots, identifying themselves using tiny chemical signatures specific to each plant's family.",D,Which of the following is NOT right about animals' social skill?,"['Animals can recognize and memorize their relatives.', ""Animals' social skill is to cooperate and share resources."", ""Animals' social skill can recognize close relatives in order to work together."", ""Animals' social skill is no use at all.""]",Animals' social skill is no use at all.
high4017.txt,"NASA has opened the door to the next generation of space discovery by announcing great plans for a base for humans to live on the surface of the moon forever.
The project to build a base on the moon will begin soon after 2020, with astronauts living there within four years.
The project comes after several excellent scientists and environmentalists asked humans to look beyond Earth to ensure the survival of the species  .
Eventually, the moon will be a base for humans to explore the solar system and one day land on Mars.
NASA began planning for the first moon landing since 1972 when George Bush, the US president, announced his new plan for space exploration four years ago.
NASA has already talked about the design of the Orion spacecraft that will replace the old space shuttle fleet in 2010.
The plan for the moon base, however, is the first detailed explanation of how NASA intends to prepare for the first manned exploration of deep space and a possible Mars mission within 30 years.
Scientists also believe that the south pole on the moon contain rich natural gases such as the rare helium-3 that could be used as fuel for the generation of nuclear power. Besides, teams of astronauts living there for six months at a time would mine for hydrogen and oxygen to make water and possibly rocket fuel.",D,The reasons why NASA has begun the plan to explore space include the followings except   _  .,"['to protect Earth', 'to explore deep space', 'to finish Mars mission', 'to show how powerful the USA is']",D
middle79.txt,"As we know, there are differences between western culture and Chinese culture. We can see  differences  when we pay attention to the words that are used. Let's look at the words about describing animals. Most phrases in Chinese about the dog. For example, "" a  homeless dog"", ""a running dog"",  and "" a dog catching a mouse"", have negative meanings.
But in western countries, dogs are considered honest and good friends of humans. In English, people use dogs to describe positive behavior. For example, ""You are  lucky dog"" means you are a  lucky person.   And  ""Every dog has its day"" means _ . To describe a person's serious illness, they say ""sick as a dog"". The  word  ""dog-tired""  means  "" very tired"". The  words  about animals are used in positive or negative ways in different cultures. We can learn about many differences in cultures by comparing how certain words are used.",D,What 's the best  title of the passage?,"['Dogs', 'Western Culture', 'Chinese Culture', 'Different Countries Have Different Culture']",B. Western Culture
high10623.txt,"Outside our hotel in Ho Chi Minh City, Vietnam, a seemingly ancient woman waited beside the door with her hand outstretched. Every day I put my hand in hers as our eyes met. She never failed to return my smile, my grasp, and my greeting.
On the last day of our visit, I found myself alone on a busy corner across the street from our hotel. Bicycles and motorbikes rushed in front of me. As I hesitated on the sidewalk, I felt a hand on my elbow and looked down to see the smile of my small beggar friend looking up at me. She nodded her head toward the street, indicating that she would take me across. Together, we moved slowly into the chaos.
Then we moved on toward the sidewalk, where she pulled my face down to hers, kissed me on both cheeks, and then left, still smiling and waving back to me.
Traveling in poorer nations, I have witnessed a variety of ways to deal with beggars. The most common response of tourists faced with the poverty-stricken is to ignore them and focus their eyes elsewhere. I have seen people push away an outstretched hand in angry annoyance. A few may drop a few coins into the hand in a hurry, hoping that other ragged pursuers won't immediately appear on the scene.
For many reasons, giving money is not the best response to an outstretched hand. Many world travelers have discovered that the greatest gift they can give is their time and respect. Everyone needs recognition, to be seen as worthy of being known, to feel appreciated and loved. And I believe that everyone is worthy and worth knowing.",D,"In common cases, people will do the following things to the beggars EXCEPT for   _  .","['pretending to see nothing', 'handing out some money', 'refusing them angrily', 'greeting them normally']",greeting them normally
middle2208.txt,"Sports can help you keep fit and close to nature. However, whether you are on the mountains, in the waves, or on the grassland, you should realize that sport you choose might have great influence on the environment.
Some sports are _ . Golf, as you may know, eats up not only large areas of countryside, but also lots of water. Besides, huge amounts of energy are used to keep its courses in good condition. This causes major environmental changes. For example, in the dry places of Portugal and Spain, golf is often held responsible for (...) serious water shortage  in some local areas.
There are many environment-friendly sports. Power walking is one of them that you could take up today. You don't need any special equipment except a good pair of shoes, and you don't have to worry about resources and your purse. Simple and free, power walking can also help you stay healthy. If you walk regularly, it will be good for your heart. Experts say that 20 minutes of power walking daily can make you feel less anxious, sleep well and keep thin.
Whatever sport you take up, you can make it greener than by using environment-friendly equipment and buying products made from recycled materials. But the final goal should be ""green gyms."" They are better replacements  for traditional health clubs and modern sports centers. Members of green gyms play sports outdoors, in the countryside or other open spaces. There is no special requirement for you to start your membership . And best of all, it's free.",A,Which of following does the author most probably support according to the passage?,"['Bicycling around the lake.', 'Car racing on the road.', 'Playing basketball in a gym.', 'Swimming in a sports center.']",A. Bicycling around the lake.
