,id,title,context,question,answers,mistral Verdict
7200,572a213e6aef0514001552f2,Economic_inequality,"The capabilities approach – sometimes called the human development approach – looks at income inequality and poverty as form of “capability deprivation”. Unlike neoliberalism, which “defines well-being as utility maximization”, economic growth and income are considered a means to an end rather than the end itself. Its goal is to “wid[en] people’s choices and the level of their achieved well-being” through increasing functionings (the things a person values doing), capabilities (the freedom to enjoy functionings) and agency (the ability to pursue valued goals).",What is the definition of agency as it relates to capabilities? ,"{'text': ['the ability to pursue valued goals', 'the ability to pursue valued goals'], 'answer_start': [530, 530]}", correct.
11618,57376df3c3c5551400e51ed8,Force,"Pushing against an object on a frictional surface can result in a situation where the object does not move because the applied force is opposed by static friction, generated between the object and the table surface. For a situation with no movement, the static friction force exactly balances the applied force resulting in no acceleration. The static friction increases or decreases in response to the applied force up to an upper limit determined by the characteristics of the contact between the surface and the object.",What is generated between a surface and an object that is being pushed?,"{'text': ['static friction', 'static friction', 'static friction', 'static friction', 'static friction'], 'answer_start': [147, 147, 147, 147, 147]}"," correct.

(Note: The repeated value in the list 'answer\_start' is not necessary, but it does not affect the correctness of the answer.)"
3707,5a834dbde60761001a2eb558,Ctenophora,"Ctenophores may be abundant during the summer months in some coastal locations, but in other places they are uncommon and difficult to find. In bays where they occur in very high numbers, predation by ctenophores may control the populations of small zooplanktonic organisms such as copepods, which might otherwise wipe out the phytoplankton (planktonic plants), which are a vital part of marine food chains. One ctenophore, Mnemiopsis, has accidentally been introduced into the Black Sea, where it is blamed for causing fish stocks to collapse by eating both fish larvae and organisms that would otherwise have fed the fish. The situation was aggravated by other factors, such as over-fishing and long-term environmental changes that promoted the growth of the Mnemiopsis population. The later accidental introduction of Beroe helped to mitigate the problem, as Beroe preys on other ctenophores.",What sea have copepods accidentially been released into?,"{'text': [], 'answer_start': []}", Wrong. Copepods are not mentioned as being accidentally introduced into any sea in the context provided.
5790,57273cca708984140094db34,Construction,"Large-scale construction requires collaboration across multiple disciplines. An architect normally manages the job, and a construction manager, design engineer, construction engineer or project manager supervises it. For the successful execution of a project, effective planning is essential. Those involved with the design and execution of the infrastructure in question must consider zoning requirements, the environmental impact of the job, the successful scheduling, budgeting, construction-site safety, availability and transportation of building materials, logistics, inconvenience to the public caused by construction delays and bidding, etc. The largest construction projects are referred to as megaprojects.",Who normally supervises a construction job?,"{'text': ['a construction manager, design engineer, construction engineer or project manager', 'construction engineer or project manager', 'construction manager, design engineer, construction engineer or project manager'], 'answer_start': [120, 161, 122]}", correct.
11584,573766251c45671900574473,Force,"Since forces are perceived as pushes or pulls, this can provide an intuitive understanding for describing forces. As with other physical concepts (e.g. temperature), the intuitive understanding of forces is quantified using precise operational definitions that are consistent with direct observations and compared to a standard measurement scale. Through experimentation, it is determined that laboratory measurements of forces are fully consistent with the conceptual definition of force offered by Newtonian mechanics.",What offers a conceptual definition of force?,"{'text': ['Newtonian mechanics', 'Newtonian mechanics', 'Newtonian mechanics', 'Newtonian mechanics', 'Newtonian mechanics'], 'answer_start': [500, 500, 500, 500, 500]}"," Wrong. The conceptual definition of force is offered by the intuitive understanding of forces as pushes or pulls, while the precise operational definitions and comparison to a standard measurement scale come from experimentation and quantification in Newtonian mechanics."
10079,573011de04bcaa1900d770fb,Islamism,"While Qutb's ideas became increasingly radical during his imprisonment prior to his execution in 1966, the leadership of the Brotherhood, led by Hasan al-Hudaybi, remained moderate and interested in political negotiation and activism. Fringe or splinter movements inspired by the final writings of Qutb in the mid-1960s (particularly the manifesto Milestones, a.k.a. Ma'alim fi-l-Tariq) did, however, develop and they pursued a more radical direction. By the 1970s, the Brotherhood had renounced violence as a means of achieving its goals.",What organization was led by Hasan al-Hudaybi?,"{'text': ['the Brotherhood', 'the Brotherhood', 'Brotherhood'], 'answer_start': [121, 121, 125]}", Correct.
2783,5a38b468a4b263001a8c18b2,1973_oil_crisis,"Some of the income was dispensed in the form of aid to other underdeveloped nations whose economies had been caught between higher oil prices and lower prices for their own export commodities, amid shrinking Western demand. Much went for arms purchases that exacerbated political tensions, particularly in the Middle East. Saudi Arabia spent over 100 billion dollars in the ensuing decades for helping spread its fundamentalist interpretation of Islam, known as Wahhabism, throughout the world, via religious charities such al-Haramain Foundation, which often also distributed funds to violent Sunni extremist groups such as Al-Qaeda and the Taliban.",Some of the export commodities that were used for oil purchases helped create tensions where?,"{'text': [], 'answer_start': []}"," Wrong. The answer should specify ""in the Middle East""."
1770,5ad24d2ad7d075001a428c20,Huguenot,"Louis XIV gained the throne in 1643 and acted increasingly aggressively to force the Huguenots to convert. At first he sent missionaries, backed by a fund to financially reward converts to Catholicism. Then he imposed penalties, closed Huguenot schools and excluded them from favored professions. Escalating, he instituted dragonnades, which included the occupation and looting of Huguenot homes by military troops, in an effort to forcibly convert them. In 1685, he issued the Edict of Fontainebleau, revoking the Edict of Nantes and declaring Protestantism illegal.[citation needed]",In what year did Louis XIV start to deny Protestants the ability to work in certain professions?,"{'text': [], 'answer_start': []}", wrong. Louis XIV started denying Protestants the ability to work in certain professions before 1685.
187,56de4bb84396321400ee27a2,Normans,"The French Wars of Religion in the 16th century and French Revolution in the 18th successively destroyed much of what existed in the way of the architectural and artistic remnant of this Norman creativity. The former, with their violence, caused the wanton destruction of many Norman edifices; the latter, with its assault on religion, caused the purposeful destruction of religious objects of any type, and its destabilisation of society resulted in rampant pillaging.",When were the French wars of religion?,"{'text': ['16th century', 'the 16th century', 'in the 16th century'], 'answer_start': [35, 31, 28]}", correct.
8474,5ad4c6775b96ef001a10a014,Immune_system,"In humans, this response is activated by complement binding to antibodies that have attached to these microbes or the binding of complement proteins to carbohydrates on the surfaces of microbes. This recognition signal triggers a rapid killing response. The speed of the response is a result of signal amplification that occurs following sequential proteolytic activation of complement molecules, which are also proteases. After complement proteins initially bind to the microbe, they activate their protease activity, which in turn activates other complement proteases, and so on. This produces a catalytic cascade that amplifies the initial signal by controlled positive feedback. The cascade results in the production of peptides that attract immune cells, increase vascular permeability, and opsonize (coat) the surface of a pathogen, marking it for destruction. This deposition of complement can also kill cells directly by disrupting their plasma membrane.",What repels immune cells?,"{'text': [], 'answer_start': []}"," Wrong. The context discusses how the complement system attracts and marks immune cells for destruction, not repels them."
11098,5ad3a01a604f3c001a3fe971,French_and_Indian_War,"The French and Indian War (1754–1763) was the North American theater of the worldwide Seven Years' War. The war was fought between the colonies of British America and New France, with both sides supported by military units from their parent countries of Great Britain and France, as well as Native American allies. At the start of the war, the French North American colonies had a population of roughly 60,000 European settlers, compared with 2 million in the British North American colonies. The outnumbered French particularly depended on the Indians. Long in conflict, the metropole nations declared war on each other in 1756, escalating the war from a regional affair into an intercontinental conflict.",When wasn't the French and Indian War?,"{'text': [], 'answer_start': []}", Wrong. The French and Indian War took place between 1754-1763.
4883,5a58db973e1742001a15ce50,Geology,"The development of plate tectonics provided a physical basis for many observations of the solid Earth. Long linear regions of geologic features could be explained as plate boundaries. Mid-ocean ridges, high regions on the seafloor where hydrothermal vents and volcanoes exist, were explained as divergent boundaries, where two plates move apart. Arcs of volcanoes and earthquakes were explained as convergent boundaries, where one plate subducts under another. Transform boundaries, such as the San Andreas fault system, resulted in widespread powerful earthquakes. Plate tectonics also provided a mechanism for Alfred Wegener's theory of continental drift, in which the continents move across the surface of the Earth over geologic time. They also provided a driving force for crustal deformation, and a new setting for the observations of structural geology. The power of the theory of plate tectonics lies in its ability to combine all of these observations into a single theory of how the lithosphere moves over the convecting mantle.",Where in the ocean are volcano arcs located?,"{'text': [], 'answer_start': []}"," Wrong. Volcano arcs are located at convergent boundaries in the ocean, where one plate subducts under another."
7147,572a1c943f37b319004786e1,Economic_inequality,"A number of researchers (David Rodda, Jacob Vigdor, and Janna Matlack), argue that a shortage of affordable housing – at least in the US – is caused in part by income inequality. David Rodda noted that from 1984 and 1991, the number of quality rental units decreased as the demand for higher quality housing increased (Rhoda 1994:148). Through gentrification of older neighbourhoods, for example, in East New York, rental prices increased rapidly as landlords found new residents willing to pay higher market rate for housing and left lower income families without rental units. The ad valorem property tax policy combined with rising prices made it difficult or impossible for low income residents to keep pace.",What do a number of researchers think a shortage of is caused in part by income inequality?,"{'text': ['a shortage of affordable housing', 'affordable housing', 'affordable housing'], 'answer_start': [83, 97, 97]}", correct.
744,5ad02ff177cf76001a686da4,Southern_California,"The state is most commonly divided and promoted by its regional tourism groups as consisting of northern, central, and southern California regions. The two AAA Auto Clubs of the state, the California State Automobile Association and the Automobile Club of Southern California, choose to simplify matters by dividing the state along the lines where their jurisdictions for membership apply, as either northern or southern California, in contrast to the three-region point of view. Another influence is the geographical phrase South of the Tehachapis, which would split the southern region off at the crest of that transverse range, but in that definition, the desert portions of north Los Angeles County and eastern Kern and San Bernardino Counties would be included in the southern California region due to their remoteness from the central valley and interior desert landscape.",What type of phrase is North of the Tehachapis?,"{'text': [], 'answer_start': []}"," Wrong. The context mentions ""South of the Tehachapis"" as a geographical phrase, but it does not mention ""North of the Tehachapis""."
5668,5728e8212ca10214002daa6d,Civil_disobedience,"Many of the same decisions and principles that apply in other criminal investigations and arrests arise also in civil disobedience cases. For example, the suspect may need to decide whether or not to grant a consent search of his property, and whether or not to talk to police officers. It is generally agreed within the legal community, and is often believed within the activist community, that a suspect's talking to criminal investigators can serve no useful purpose, and may be harmful. However, some civil disobedients have nonetheless found it hard to resist responding to investigators' questions, sometimes due to a lack of understanding of the legal ramifications, or due to a fear of seeming rude. Also, some civil disobedients seek to use the arrest as an opportunity to make an impression on the officers. Thoreau wrote, ""My civil neighbor, the tax-gatherer, is the very man I have to deal with--for it is, after all, with men and not with parchment that I quarrel--and he has voluntarily chosen to be an agent of the government. How shall he ever know well that he is and does as an officer of the government, or as a man, until he is obliged to consider whether he will treat me, his neighbor, for whom he has respect, as a neighbor and well-disposed man, or as a maniac and disturber of the peace, and see if he can get over this obstruction to his neighborliness without a ruder and more impetuous thought or speech corresponding with his action.""",What is a way you can show police officers civil disobedience ?,"{'text': ['not to grant a consent search', 'not to talk to police officers', 'not to talk to police officers', 'not to talk', ""resist responding to investigators' questions"", 'grant a consent search'], 'answer_start': [193, 255, 255, 255, 558, 200]}"," Wrong. The question asks for a way to show police officers civil disobedience, but the options provided all relate to actions that can be taken by a suspect in response to police investigation or interrogation. Civil disobedience is a deliberate and public act of defiance against a law or regulation that one believes to be unjust. It is not something that is shown to police officers directly, but rather something that the civil disobedient does as a statement of their beliefs and intentions."
11009,5ad500e95b96ef001a10a912,Warsaw,"Several commemorative events take place every year. Gatherings of thousands of people on the banks of the Vistula on Midsummer’s Night for a festival called Wianki (Polish for Wreaths) have become a tradition and a yearly event in the programme of cultural events in Warsaw. The festival traces its roots to a peaceful pagan ritual where maidens would float their wreaths of herbs on the water to predict when they would be married, and to whom. By the 19th century this tradition had become a festive event, and it continues today. The city council organize concerts and other events. Each Midsummer’s Eve, apart from the official floating of wreaths, jumping over fires, looking for the fern flower, there are musical performances, dignitaries' speeches, fairs and fireworks by the river bank.",What is the polish word for concerts?,"{'text': [], 'answer_start': []}"," Wrong. The Polish word for concerts is ""koncerty""."
1641,5ad27294d7d075001a42949a,Huguenot,"In Berlin, the Huguenots created two new neighbourhoods: Dorotheenstadt and Friedrichstadt. By 1700, one-fifth of the city's population was French speaking. The Berlin Huguenots preserved the French language in their church services for nearly a century. They ultimately decided to switch to German in protest against the occupation of Prussia by Napoleon in 1806-07. Many of their descendents rose to positions of prominence. Several congregations were founded, such as those of Fredericia (Denmark), Berlin, Stockholm, Hamburg, Frankfurt, Helsinki, and Emden.",In what year did Napoleon come to power in France?,"{'text': [], 'answer_start': []}"," Wrong. Napoleon came to power in France in the late 18th century, around 1799."
8412,572a0ce11d04691400779700,Immune_system,"An evasion strategy used by several pathogens to avoid the innate immune system is to hide within the cells of their host (also called intracellular pathogenesis). Here, a pathogen spends most of its life-cycle inside host cells, where it is shielded from direct contact with immune cells, antibodies and complement. Some examples of intracellular pathogens include viruses, the food poisoning bacterium Salmonella and the eukaryotic parasites that cause malaria (Plasmodium falciparum) and leishmaniasis (Leishmania spp.). Other bacteria, such as Mycobacterium tuberculosis, live inside a protective capsule that prevents lysis by complement. Many pathogens secrete compounds that diminish or misdirect the host's immune response. Some bacteria form biofilms to protect themselves from the cells and proteins of the immune system. Such biofilms are present in many successful infections, e.g., the chronic Pseudomonas aeruginosa and Burkholderia cenocepacia infections characteristic of cystic fibrosis. Other bacteria generate surface proteins that bind to antibodies, rendering them ineffective; examples include Streptococcus (protein G), Staphylococcus aureus (protein A), and Peptostreptococcus magnus (protein L).",What bacteria lives inside a protective capsule that serves to prevent cell lysis?,"{'text': ['Mycobacterium tuberculosis', 'Mycobacterium tuberculosis', 'Mycobacterium tuberculosis'], 'answer_start': [548, 548, 548]}", Correct. Mycobacterium tuberculosis lives inside a protective capsule that prevents cell lysis. The repeated mention of this fact in the context supports the accuracy of the answer.
134,5ad3fc41604f3c001a3ffb8f,Normans,"The legendary religious zeal of the Normans was exercised in religious wars long before the First Crusade carved out a Norman principality in Antioch. They were major foreign participants in the Reconquista in Iberia. In 1018, Roger de Tosny travelled to the Iberian Peninsula to carve out a state for himself from Moorish lands, but failed. In 1064, during the War of Barbastro, William of Montreuil led the papal army and took a huge booty.",Where did the Normans carve out a principality before the First Crusade?,"{'text': [], 'answer_start': []}"," Wrong. The answer should be ""in Antioch"" or ""on the Iberian Peninsula""."
1034,5a2c07d5bfd06b001a5ae980,Sky_(United_Kingdom),Sky UK Limited (formerly British Sky Broadcasting or BSkyB) is a British telecommunications company which serves the United Kingdom. Sky provides television and broadband internet services and fixed line telephone services to consumers and businesses in the United Kingdom. It is the UK's largest pay-TV broadcaster with 11 million customers as of 2015. It was the UK's most popular digital TV service until it was overtaken by Freeview in April 2007. Its corporate headquarters are based in Isleworth.,What has Sky UK Limited never been involved with?,"{'text': [], 'answer_start': []}"," Wrong. The question asks for something that Sky UK Limited has never been involved with, but the answer provided is an empty list."
10860,57337ea24776f41900660bd3,Warsaw,"Demographically, it was the most diverse city in Poland, with significant numbers of foreign-born inhabitants. In addition to the Polish majority, there was a significant Jewish minority in Warsaw. According to Russian census of 1897, out of the total population of 638,000, Jews constituted 219,000 (around 34% percent). Warsaw's prewar Jewish population of more than 350,000 constituted about 30 percent of the city's total population. In 1933, out of 1,178,914 inhabitants 833,500 were of Polish mother tongue. World War II changed the demographics of the city, and to this day there is much less ethnic diversity than in the previous 300 years of Warsaw's history. Most of the modern day population growth is based on internal migration and urbanisation.",How many of Warsaw's inhabitants spoke Polish in 1933?,"{'text': ['833,500', '833,500', '833,500'], 'answer_start': [476, 476, 476]}", Correct.
2029,5ad3d2aa604f3c001a3ff264,Steam_engine,"Trevithick continued his own experiments using a trio of locomotives, concluding with the Catch Me Who Can in 1808. Only four years later, the successful twin-cylinder locomotive Salamanca by Matthew Murray was used by the edge railed rack and pinion Middleton Railway. In 1825 George Stephenson built the Locomotion for the Stockton and Darlington Railway. This was the first public steam railway in the world and then in 1829, he built The Rocket which was entered in and won the Rainhill Trials. The Liverpool and Manchester Railway opened in 1830 making exclusive use of steam power for both passenger and freight trains.",On what railroad was Darlington used?,"{'text': [], 'answer_start': []}", Wrong. The Stockton and Darlington Railway is the correct answer.
9869,572ff760b2c2fd1400568677,Islamism,"Moderate and reformist Islamists who accept and work within the democratic process include parties like the Tunisian Ennahda Movement. Jamaat-e-Islami of Pakistan is basically a socio-political and democratic Vanguard party but has also gained political influence through military coup d'état in past. The Islamist groups like Hezbollah in Lebanon and Hamas in Palestine participate in democratic and political process as well as armed attacks, seeking to abolish the state of Israel. Radical Islamist organizations like al-Qaeda and the Egyptian Islamic Jihad, and groups such as the Taliban, entirely reject democracy, often declaring as kuffar those Muslims who support it (see takfirism), as well as calling for violent/offensive jihad or urging and conducting attacks on a religious basis.",What process do moderate and reformist Islamists work within the boundaries of?,"{'text': ['democratic', 'democratic process', 'democratic'], 'answer_start': [64, 64, 64]}", correct.
824,570607f575f01819005e78b4,Southern_California,"Los Angeles (at 3.7 million people) and San Diego (at 1.3 million people), both in southern California, are the two largest cities in all of California (and two of the eight largest cities in the United States). In southern California there are also twelve cities with more than 200,000 residents and 34 cities over 100,000 in population. Many of southern California's most developed cities lie along or in close proximity to the coast, with the exception of San Bernardino and Riverside.",What is the largest city in all of California?,"{'text': ['Los Angeles', 'Los Angeles', 'Los Angeles'], 'answer_start': [0, 0, 0]}", correct.
5697,5728ec6a4b864d19001650aa,Civil_disobedience,"When the Committee for Non-Violent Action sponsored a protest in August 1957, at the Camp Mercury nuclear test site near Las Vegas, Nevada, 13 of the protesters attempted to enter the test site knowing that they faced arrest. At a pre-arranged announced time, one at a time they stepped across the ""line"" and were immediately arrested. They were put on a bus and taken to the Nye County seat of Tonopah, Nevada, and arraigned for trial before the local Justice of the Peace, that afternoon. A well known civil rights attorney, Francis Heisler, had volunteered to defend the arrested persons, advising them to plead ""nolo contendere"", as an alternative to pleading either guilty or not-guilty. The arrested persons were found ""guilty,"" nevertheless, and given suspended sentences, conditional on their not reentering the test site grounds.[citation needed]",Where in Las Vegas did a famous protest take place?,"{'text': ['Camp Mercury nuclear test site', 'Camp Mercury nuclear test site', 'Camp Mercury nuclear test site', 'Camp Mercury nuclear test site', 'Camp Mercury nuclear test site'], 'answer_start': [85, 85, 85, 85, 85]}"," correct.

The context and answer both mention that the protest took place at Camp Mercury nuclear test site near Las Vegas."
6135,57274eca5951b619008f8800,Private_school,"As of April 2014, there are 88 private schools in New Zealand, catering for around 28,000 students or 3.7% of the entire student population. Private school numbers have been in decline since the mid-1970s as a result of many private schools opting to become state-integrated schools, mostly due of financial difficulties stemming from changes in student numbers and/or the economy. State-integrated schools keep their private school special character and receives state funds in return for having to operate like a state school, e.g. they must teach the state curriculum, they must employ registered teachers, and they can't charge tuition fees (they can charge ""attendance dues"" for the upkeep on the still-private school land and buildings). The largest decline in private school numbers occurred between 1979 and 1984, when the nation's then-private Catholic school system integrated. As a result, private schools in New Zealand are now largely restricted to the largest cities (Auckland, Hamilton, Wellington and Christchurch) and niche markets.","In April 2014, how many New Zealand students attended private schools?","{'text': ['28,000', '28,000', '28,000'], 'answer_start': [83, 83, 83]}", Correct.
2312,5ad22a96d7d075001a4285dc,Oxygen,"In the late 17th century, Robert Boyle proved that air is necessary for combustion. English chemist John Mayow (1641–1679) refined this work by showing that fire requires only a part of air that he called spiritus nitroaereus or just nitroaereus. In one experiment he found that placing either a mouse or a lit candle in a closed container over water caused the water to rise and replace one-fourteenth of the air's volume before extinguishing the subjects. From this he surmised that nitroaereus is consumed in both respiration and combustion.",When did Robert Mayow prove his theories?,"{'text': [], 'answer_start': []}"," Wrong. John Mayow's name was misspelled in the question as ""Robert Mayow."" The correct name is John Mayow."
